id,category,subcategory,brand,colour,pattern,formality,season,hue,value,chroma,temp,hex,fabric,texture,layer,needs_base,formality_rank,warmth,fit_cut,hem,palette,silhouette,ring_fence,provenance,fit,condition,acquired,availability,verdict,flag_notes,open_question
1,Gym,T-shirt (technical),Nike,Black,Solid,Sport,All year,black,D,NEUTRAL,NEUTRAL,#16171a,technical,FLAT,N/A,N,1,2,REGULAR,N/A,N/A,OK,GYM,C,,Good,,available,KEEP,,
2,Gym,Polo (technical),Nike,Black,Solid,Sport,All year,black,D,NEUTRAL,NEUTRAL,#16171a,technical,FLAT,N/A,N,1,2,REGULAR,N/A,N/A,OK,GYM,C,,Good,,available,KEEP,Synthetic - sport only,
3,Gym,Headband,Nike,Cream,Solid,Sport,All year,cream,L,NEUTRAL,WARM,#e6d9bf,cotton,FLAT,N/A,N,1,2,REGULAR,N/A,N/A,OK,GYM,C,,Good,,available,KEEP,,
4,Shirts,Casual shirt,Officine Generale,Light blue,Solid,Smart casual,Spring/Summer,blue,L,MUTED,COOL,#b9c9d9,cotton,FLAT,MID,N,3,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,Chambray mid-blue reads fine,
5,Shirts,Casual shirt,Officine Generale,Dark olive,Solid,Smart casual,All year,olive,D,MUTED,WARM,#454a34,cotton,FLAT,MID,N,3,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,Best colour family,
6,Shirts,Casual shirt,Orlebar Brown,Pale blue,Solid,Smart casual,Spring/Summer,blue,L,MUTED,COOL,#b9c9d9,cotton,FLAT,MID,N,3,1,REGULAR,N/A,WEAK,OK,NONE,E,,Good,,available,KEEP,MERGED with old row 73,
7,Shirts,Oxford shirt,Officine Generale,Light blue,Solid,Smart casual,All year,blue,L,MUTED,COOL,#b9c9d9,cotton,FLAT,MID,N,3,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,Classic staple; formula 2 anchor,
8,Shirts,Linen shirt,8 by YOOX,White,Solid,Smart casual,Summer,white,L,NEUTRAL,NEUTRAL,#f7f5f0,linen,TEXTURED,MID,N,3,1,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,White linen rated highly,
9,Shirts,Camp collar shirt,All Saints,Olive green,Open crochet knit,Casual,Summer,olive,M,MUTED,WARM,#5e6444,knit,TEXTURED,MID,Y,2,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,CANNOT BE BUTTONED - open layer only over a tee,
10,Shirts,Overshirt (summer),All Saints,Black / cream / rust / magenta,Large-scale paisley,Casual (statement),Summer,black,D,NEUTRAL,NEUTRAL,#16171a,knit,TEXTURED,OUTER,N,2,2,REGULAR,N/A,FAIL,OK,HOLIDAY-EVE,E,,Good,,available,KEEP,Holiday evenings only open over a plain tee. Kept on Pavlos override,
11,Trousers,Suit trousers,Adam Waite,Navy,Solid,Formal,All year,navy,D,MUTED,COOL,#1e2a44,cotton,FLAT,BOTTOM,N,4,2,REGULAR,PLAIN,STRONG,OK,NONE,E,,Good,,available,KEEP,SUIT-LOCKED with 12. NOT an odd-trouser option for client days,
12,Outerwear,Blazer (suit),Adam Waite,Navy,Solid,Formal,All year,navy,D,MUTED,COOL,#1e2a44,cotton,FLAT,OUTER,N,4,3,SLIM,OK,STRONG,OK,NONE,E,Fits perfectly. Shoulder 41.5 / back 72 / sleeve 57.5,Good,,available,KEEP,MADE TO MEASURE - the shoulder benchmark. Red lining limits it as a separate,
13,Tops,Henley (knit),Officine Generale,Mid blue,Solid,Casual,Autumn/Winter,blue,M,MUTED,COOL,#47688e,knit,TEXTURED,MID,N,2,2,REGULAR,N/A,OK,OK,NONE,E,,Good,,available,KEEP,Likely OG Bene,
14,Footwear,Chelsea boots,Celine,Black,Solid,Smart,Autumn/Winter,black,D,NEUTRAL,NEUTRAL,#16171a,leather,FLAT,SHOE,N,4,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good - needs polish and clean,,available,KEEP,Key asset,
15,Footwear,Espadrilles,Manebi,Navy blue,Solid,Casual,Summer,navy,D,NEUTRAL,COOL,#1e2a44,cotton,FLAT,SHOE,N,2,2,REGULAR,N/A,STRONG,OK,NONE,E,,Good,,available,KEEP,,
16,Gym,Running shoes,Nike,Black / white,Solid,Sport,All year,black,D,NEUTRAL,NEUTRAL,#16171a,technical,FLAT,N/A,N,1,2,REGULAR,N/A,N/A,OK,GYM,C,,Good,,available,KEEP,No lateral support - NOT a tennis shoe,
